"Date","Price","Open","High","Low","Change %"
"03/01/2023","4.867","4.865","4.865","4.843","0.21%"
"02/28/2023","4.857","4.860","4.873","4.844","1.10%"
"02/27/2023","4.804","4.841","4.897","4.788","-0.60%"
"02/24/2023","4.833","4.851","4.867","4.810","0.02%"
"02/23/2023","4.832","4.864","4.874","4.819","0.08%"
"02/22/2023","4.828","4.843","4.846","4.823","0.25%"
"02/21/2023","4.816","4.840","4.876","4.780","-0.50%"
"02/20/2023","4.840","4.827","4.840","4.827","0.54%"
"02/17/2023","4.814","4.851","4.861","4.801","0.27%"
"02/16/2023","4.801","4.823","4.825","4.770","0.59%"
"02/15/2023","4.773","4.815","4.815","4.773","-0.27%"
"02/14/2023","4.786","4.813","4.831","4.782","0.17%"
"02/13/2023","4.778","4.812","4.822","4.765","0.10%"
"02/10/2023","4.773","4.788","4.807","4.747","0.67%"
"02/09/2023","4.741","4.750","4.762","4.700","0.57%"
"02/08/2023","4.714","4.747","4.750","4.698","0.23%"
"02/07/2023","4.703","4.697","4.722","4.660","0.79%"
"02/06/2023","4.666","4.693","4.698","4.656","0.15%"
"02/03/2023","4.659","4.677","4.698","4.620","0.41%"
"02/02/2023","4.640","4.672","4.708","4.635","-0.34%"
"02/01/2023","4.656","4.717","4.717","4.649","-0.79%"
"01/31/2023","4.693","4.710","4.751","4.693","0.69%"
"01/30/2023","4.661","4.719","4.736","4.661","-0.34%"
"01/27/2023","4.677","4.713","4.721","4.670","0.17%"
"01/26/2023","4.669","4.716","4.726","4.669","-0.13%"
"01/25/2023","4.675","4.737","4.740","4.672","-0.43%"
"01/24/2023","4.695","4.699","4.743","4.681","0.56%"
"01/23/2023","4.669","4.719","4.752","4.661","0.15%"
"01/20/2023","4.662","4.703","4.716","4.654","-0.09%"
"01/19/2023","4.666","4.703","4.736","4.659","0.32%"
"01/18/2023","4.651","4.708","4.708","4.649","0.74%"
"01/17/2023","4.617","4.661","4.674","4.609","-0.95%"
"01/16/2023","4.661","4.661","4.661","4.661","0.89%"
"01/13/2023","4.620","4.643","4.654","4.604","0.24%"
"01/12/2023","4.609","4.716","4.744","4.599","-1.45%"
"01/11/2023","4.677","4.695","4.706","4.667","-0.23%"
"01/10/2023","4.688","4.689","4.717","4.662","1.58%"
"01/09/2023","4.615","4.923","4.926","4.609","-0.24%"
"01/06/2023","4.626","4.697","4.697","4.613","0.09%"
"01/05/2023","4.622","4.532","4.640","4.516","2.35%"
"01/04/2023","4.516","4.548","4.555","4.491","3.27%"
"01/03/2023","4.373","4.404","4.430","4.363","-0.49%"
"01/02/2023","4.395","4.395","4.395","4.395","-0.24%"
